pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
EPS/SPS,adjacent,raw,3,63.75,0.275,63.699,67.5,60.0,27.0,24.0,16.0,13.0,80.0,63.75
EPS/SPS,adjacent,raw,4,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
EPS/SPS,adjacent,raw,5,57.5,0.15,57.5,57.5,57.5,23.0,23.0,17.0,17.0,80.0,57.5
EPS/SPS,adjacent,raw,6,50.0,0.0,49.7172,42.5,57.5,17.0,23.0,17.0,23.0,80.0,50.0
EPS/SPS,adjacent,raw,7,72.5,0.45,72.4828,70.0,75.0,28.0,30.0,10.0,12.0,80.0,72.5
EPS/SPS,adjacent,raw,8,62.5,0.25,62.5,62.5,62.5,25.0,25.0,15.0,15.0,80.0,62.5
EPS/SPS,adjacent,raw,9,65.0,0.3,64.9123,60.0,70.0,24.0,28.0,12.0,16.0,80.0,65.0
EPS/SPS,adjacent,raw,10,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
EPS/SPS,adjacent,raw,11,47.5,-0.05,47.4672,50.0,45.0,20.0,18.0,22.0,20.0,80.0,47.5
EPS/SPS,adjacent,raw,12,56.25,0.125,56.0784,62.5,50.0,25.0,20.0,20.0,15.0,80.0,56.25
EPS/SPS,adjacent,raw,13,66.25,0.325,66.2025,70.0,62.5,28.0,25.0,15.0,12.0,80.0,66.25
EPS/SPS,adjacent,raw,14,56.25,0.125,56.1884,60.0,52.5,24.0,21.0,19.0,16.0,80.0,56.25
EPS/SPS,adjacent,raw,15,52.5,0.05,52.2313,60.0,45.0,24.0,18.0,22.0,16.0,80.0,52.5
EPS/SPS,adjacent,raw,16,53.75,0.075,53.3932,62.5,45.0,25.0,18.0,22.0,15.0,80.0,53.75
EPS/SPS,adjacent,raw,17,43.75,-0.125,43.7412,45.0,42.5,18.0,17.0,23.0,22.0,80.0,43.75
EPS/SPS,adjacent,raw,18,63.75,0.275,63.699,60.0,67.5,24.0,27.0,13.0,16.0,80.0,63.75
EPS/SPS,adjacent,cwt,1,57.7778,0.1556,57.6942,62.2222,53.3333,28.0,24.0,21.0,17.0,90.0,57.7778
EPS/SPS,adjacent,cwt,2,41.25,-0.175,41.2408,40.0,42.5,16.0,17.0,23.0,24.0,80.0,41.25
EPS/SPS,adjacent,cwt,3,73.75,0.475,73.713,70.0,77.5,28.0,31.0,9.0,12.0,80.0,73.75
EPS/SPS,adjacent,cwt,4,65.0,0.3,64.802,57.5,72.5,23.0,29.0,11.0,17.0,80.0,65.0
EPS/SPS,adjacent,cwt,5,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
EPS/SPS,adjacent,cwt,6,63.75,0.275,63.7443,62.5,65.0,25.0,26.0,14.0,15.0,80.0,63.75
EPS/SPS,adjacent,cwt,7,67.5,0.35,67.4185,62.5,72.5,25.0,29.0,11.0,15.0,80.0,67.5
EPS/SPS,adjacent,cwt,8,51.25,0.025,50.6251,62.5,40.0,25.0,16.0,24.0,15.0,80.0,51.25
EPS/SPS,adjacent,cwt,9,83.75,0.675,83.7271,80.0,87.5,32.0,35.0,5.0,8.0,80.0,83.75
EPS/SPS,adjacent,cwt,10,65.0,0.3,64.6465,55.0,75.0,22.0,30.0,10.0,18.0,80.0,65.0
EPS/SPS,adjacent,cwt,11,56.25,0.125,56.0784,62.5,50.0,25.0,20.0,20.0,15.0,80.0,56.25
EPS/SPS,adjacent,cwt,12,55.0,0.1,54.8872,60.0,50.0,24.0,20.0,20.0,16.0,80.0,55.0
EPS/SPS,adjacent,cwt,13,57.5,0.15,57.3935,52.5,62.5,21.0,25.0,15.0,19.0,80.0,57.5
EPS/SPS,adjacent,cwt,14,50.0,0.0,49.9687,47.5,52.5,19.0,21.0,19.0,21.0,80.0,50.0
EPS/SPS,adjacent,cwt,15,56.25,0.125,56.1884,52.5,60.0,21.0,24.0,16.0,19.0,80.0,56.25
EPS/SPS,adjacent,cwt,16,60.0,0.2,59.975,62.5,57.5,25.0,23.0,17.0,15.0,80.0,60.0
EPS/SPS,adjacent,cwt,17,51.25,0.025,51.1813,55.0,47.5,22.0,19.0,21.0,18.0,80.0,51.25
EPS/SPS,adjacent,cwt,18,61.25,0.225,61.1954,65.0,57.5,26.0,23.0,17.0,14.0,80.0,61.25
HOC/EFE,adjacent,raw,1,71.1111,0.4222,71.0968,73.3333,68.8889,33.0,31.0,14.0,12.0,90.0,71.1111
HOC/EFE,adjacent,raw,2,56.25,0.125,56.1884,60.0,52.5,24.0,21.0,19.0,16.0,80.0,56.25
HOC/EFE,adjacent,raw,3,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
HOC/EFE,adjacent,raw,4,76.25,0.525,76.2463,75.0,77.5,30.0,31.0,9.0,10.0,80.0,76.25
HOC/EFE,adjacent,raw,5,52.5,0.05,52.2313,60.0,45.0,24.0,18.0,22.0,16.0,80.0,52.5
HOC/EFE,adjacent,raw,6,56.25,0.125,55.6892,45.0,67.5,18.0,27.0,13.0,22.0,80.0,56.25
HOC/EFE,adjacent,raw,7,76.25,0.525,76.1569,82.5,70.0,33.0,28.0,12.0,7.0,80.0,76.25
HOC/EFE,adjacent,raw,8,56.25,0.125,56.0784,50.0,62.5,20.0,25.0,15.0,20.0,80.0,56.25
HOC/EFE,adjacent,raw,9,58.75,0.175,58.6919,55.0,62.5,22.0,25.0,15.0,18.0,80.0,58.75
HOC/EFE,adjacent,raw,10,68.75,0.375,68.7451,70.0,67.5,28.0,27.0,13.0,12.0,80.0,68.75
HOC/EFE,adjacent,raw,11,57.5,0.15,57.4734,60.0,55.0,24.0,22.0,18.0,16.0,80.0,57.5
HOC/EFE,adjacent,raw,12,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
HOC/EFE,adjacent,raw,13,52.5,0.05,52.381,47.5,57.5,19.0,23.0,17.0,21.0,80.0,52.5
HOC/EFE,adjacent,raw,14,55.0,0.1,54.2857,67.5,42.5,27.0,17.0,23.0,13.0,80.0,55.0
HOC/EFE,adjacent,raw,15,53.75,0.075,53.3932,62.5,45.0,25.0,18.0,22.0,15.0,80.0,53.75
HOC/EFE,adjacent,raw,16,55.0,0.1,54.2857,42.5,67.5,17.0,27.0,13.0,23.0,80.0,55.0
HOC/EFE,adjacent,raw,17,68.75,0.375,68.7451,67.5,70.0,27.0,28.0,12.0,13.0,80.0,68.75
HOC/EFE,adjacent,raw,18,58.75,0.175,57.247,40.0,77.5,16.0,31.0,9.0,24.0,80.0,58.75
HOC/EFE,adjacent,cwt,1,72.2222,0.4444,72.1362,77.7778,66.6667,35.0,30.0,15.0,10.0,90.0,72.2222
HOC/EFE,adjacent,cwt,2,53.75,0.075,53.6849,57.5,50.0,23.0,20.0,20.0,17.0,80.0,53.75
HOC/EFE,adjacent,cwt,3,56.25,0.125,56.2432,55.0,57.5,22.0,23.0,17.0,18.0,80.0,56.25
HOC/EFE,adjacent,cwt,4,76.25,0.525,76.2166,72.5,80.0,29.0,32.0,8.0,11.0,80.0,76.25
HOC/EFE,adjacent,cwt,5,60.0,0.2,59.7737,67.5,52.5,27.0,21.0,19.0,13.0,80.0,60.0
HOC/EFE,adjacent,cwt,6,53.75,0.075,53.3932,45.0,62.5,18.0,25.0,15.0,22.0,80.0,53.75
HOC/EFE,adjacent,cwt,7,66.25,0.325,66.2447,65.0,67.5,26.0,27.0,13.0,14.0,80.0,66.25
HOC/EFE,adjacent,cwt,8,53.75,0.075,53.6849,50.0,57.5,20.0,23.0,17.0,20.0,80.0,53.75
HOC/EFE,adjacent,cwt,9,62.5,0.25,62.1212,52.5,72.5,21.0,29.0,11.0,19.0,80.0,62.5
HOC/EFE,adjacent,cwt,10,68.75,0.375,68.706,65.0,72.5,26.0,29.0,11.0,14.0,80.0,68.75
HOC/EFE,adjacent,cwt,11,51.25,0.025,51.0588,57.5,45.0,23.0,18.0,22.0,17.0,80.0,51.25
HOC/EFE,adjacent,cwt,12,50.0,0.0,49.9687,52.5,47.5,21.0,19.0,21.0,19.0,80.0,50.0
HOC/EFE,adjacent,cwt,13,48.75,-0.025,48.6778,52.5,45.0,21.0,18.0,22.0,19.0,80.0,48.75
HOC/EFE,adjacent,cwt,14,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
HOC/EFE,adjacent,cwt,15,53.75,0.075,53.3932,45.0,62.5,18.0,25.0,15.0,22.0,80.0,53.75
HOC/EFE,adjacent,cwt,16,60.0,0.2,59.7737,52.5,67.5,21.0,27.0,13.0,19.0,80.0,60.0
HOC/EFE,adjacent,cwt,17,61.25,0.225,61.1954,65.0,57.5,26.0,23.0,17.0,14.0,80.0,61.25
HOC/EFE,adjacent,cwt,18,67.5,0.35,67.4185,72.5,62.5,29.0,25.0,15.0,11.0,80.0,67.5
HOC/EPS,adjacent,raw,1,55.5556,0.1111,55.5336,53.3333,57.7778,24.0,26.0,19.0,21.0,90.0,55.5556
HOC/EPS,adjacent,raw,2,47.5,-0.05,47.203,55.0,40.0,22.0,16.0,24.0,18.0,80.0,47.5
HOC/EPS,adjacent,raw,3,62.5,0.25,62.2879,70.0,55.0,28.0,22.0,18.0,12.0,80.0,62.5
HOC/EPS,adjacent,raw,4,77.5,0.55,77.5,77.5,77.5,31.0,31.0,9.0,9.0,80.0,77.5
HOC/EPS,adjacent,raw,5,48.75,-0.025,48.549,55.0,42.5,22.0,17.0,23.0,18.0,80.0,48.75
HOC/EPS,adjacent,raw,6,55.0,0.1,54.7454,62.5,47.5,25.0,19.0,21.0,15.0,80.0,55.0
HOC/EPS,adjacent,raw,7,71.25,0.425,71.0282,80.0,62.5,32.0,25.0,15.0,8.0,80.0,71.25
HOC/EPS,adjacent,raw,8,47.5,-0.05,47.3684,52.5,42.5,21.0,17.0,23.0,19.0,80.0,47.5
HOC/EPS,adjacent,raw,9,46.25,-0.075,44.2915,65.0,27.5,26.0,11.0,29.0,14.0,80.0,46.25
HOC/EPS,adjacent,raw,10,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
HOC/EPS,adjacent,raw,11,52.5,0.05,52.4703,50.0,55.0,20.0,22.0,18.0,20.0,80.0,52.5
HOC/EPS,adjacent,raw,12,55.0,0.1,54.9719,52.5,57.5,21.0,23.0,17.0,19.0,80.0,55.0
HOC/EPS,adjacent,raw,13,46.25,-0.075,45.2142,60.0,32.5,24.0,13.0,27.0,16.0,80.0,46.25
HOC/EPS,adjacent,raw,14,51.25,0.025,51.2424,52.5,50.0,21.0,20.0,20.0,19.0,80.0,51.25
HOC/EPS,adjacent,raw,15,62.5,0.25,62.4765,65.0,60.0,26.0,24.0,16.0,14.0,80.0,62.5
HOC/EPS,adjacent,raw,16,68.75,0.375,68.5089,60.0,77.5,24.0,31.0,9.0,16.0,80.0,68.75
HOC/EPS,adjacent,raw,17,57.5,0.15,57.5,57.5,57.5,23.0,23.0,17.0,17.0,80.0,57.5
HOC/EPS,adjacent,raw,18,57.5,0.15,55.7292,37.5,77.5,15.0,31.0,9.0,25.0,80.0,57.5
HOC/EPS,adjacent,cwt,1,57.7778,0.1556,57.7569,55.5556,60.0,25.0,27.0,18.0,20.0,90.0,57.7778
HOC/EPS,adjacent,cwt,2,40.0,-0.2,39.8496,45.0,35.0,18.0,14.0,26.0,22.0,80.0,40.0
HOC/EPS,adjacent,cwt,3,52.5,0.05,52.4703,55.0,50.0,22.0,20.0,20.0,18.0,80.0,52.5
HOC/EPS,adjacent,cwt,4,70.0,0.4,69.9812,67.5,72.5,27.0,29.0,11.0,13.0,80.0,70.0
HOC/EPS,adjacent,cwt,5,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
HOC/EPS,adjacent,cwt,6,57.5,0.15,57.5,57.5,57.5,23.0,23.0,17.0,17.0,80.0,57.5
HOC/EPS,adjacent,cwt,7,51.25,0.025,51.0588,57.5,45.0,23.0,18.0,22.0,17.0,80.0,51.25
HOC/EPS,adjacent,cwt,8,65.0,0.3,64.802,72.5,57.5,29.0,23.0,17.0,11.0,80.0,65.0
HOC/EPS,adjacent,cwt,9,55.0,0.1,54.9719,52.5,57.5,21.0,23.0,17.0,19.0,80.0,55.0
HOC/EPS,adjacent,cwt,10,61.25,0.225,61.2439,62.5,60.0,25.0,24.0,16.0,15.0,80.0,61.25
HOC/EPS,adjacent,cwt,11,52.5,0.05,52.381,57.5,47.5,23.0,19.0,21.0,17.0,80.0,52.5
HOC/EPS,adjacent,cwt,12,48.75,-0.025,48.742,47.5,50.0,19.0,20.0,20.0,21.0,80.0,48.75
HOC/EPS,adjacent,cwt,13,41.25,-0.175,41.2408,42.5,40.0,17.0,16.0,24.0,23.0,80.0,41.25
HOC/EPS,adjacent,cwt,14,53.75,0.075,53.5686,47.5,60.0,19.0,24.0,16.0,21.0,80.0,53.75
HOC/EPS,adjacent,cwt,15,67.5,0.35,67.4185,72.5,62.5,29.0,25.0,15.0,11.0,80.0,67.5
HOC/EPS,adjacent,cwt,16,60.0,0.2,59.0793,45.0,75.0,18.0,30.0,10.0,22.0,80.0,60.0
HOC/EPS,adjacent,cwt,17,60.0,0.2,59.8997,55.0,65.0,22.0,26.0,14.0,18.0,80.0,60.0
HOC/EPS,adjacent,cwt,18,57.5,0.15,56.1573,40.0,75.0,16.0,30.0,10.0,24.0,80.0,57.5
HOC/SAA,distant,raw,1,68.8889,0.3778,68.8735,66.6667,71.1111,30.0,32.0,13.0,15.0,90.0,68.8889
HOC/SAA,distant,raw,2,62.5,0.25,62.4765,65.0,60.0,26.0,24.0,16.0,14.0,80.0,62.5
HOC/SAA,distant,raw,3,83.75,0.675,83.7271,80.0,87.5,32.0,35.0,5.0,8.0,80.0,83.75
HOC/SAA,distant,raw,4,83.75,0.675,83.6863,77.5,90.0,31.0,36.0,4.0,9.0,80.0,83.75
HOC/SAA,distant,raw,5,62.5,0.25,62.4765,60.0,65.0,24.0,26.0,14.0,16.0,80.0,62.5
HOC/SAA,distant,raw,6,55.0,0.1,53.9642,40.0,70.0,16.0,28.0,12.0,24.0,80.0,55.0
HOC/SAA,distant,raw,7,73.75,0.475,73.713,70.0,77.5,28.0,31.0,9.0,12.0,80.0,73.75
HOC/SAA,distant,raw,8,61.25,0.225,61.2439,62.5,60.0,25.0,24.0,16.0,15.0,80.0,61.25
HOC/SAA,distant,raw,9,67.5,0.35,67.4797,65.0,70.0,26.0,28.0,12.0,14.0,80.0,67.5
HOC/SAA,distant,raw,10,67.5,0.35,67.4185,72.5,62.5,29.0,25.0,15.0,11.0,80.0,67.5
HOC/SAA,distant,raw,11,55.0,0.1,54.5455,65.0,45.0,26.0,18.0,22.0,14.0,80.0,55.0
HOC/SAA,distant,raw,12,63.75,0.275,63.699,60.0,67.5,24.0,27.0,13.0,16.0,80.0,63.75
HOC/SAA,distant,raw,13,53.75,0.075,53.5686,47.5,60.0,19.0,24.0,16.0,21.0,80.0,53.75
HOC/SAA,distant,raw,14,50.0,0.0,49.7172,57.5,42.5,23.0,17.0,23.0,17.0,80.0,50.0
HOC/SAA,distant,raw,15,61.25,0.225,61.098,55.0,67.5,22.0,27.0,13.0,18.0,80.0,61.25
HOC/SAA,distant,raw,16,55.0,0.1,55.0,55.0,55.0,22.0,22.0,18.0,18.0,80.0,55.0
HOC/SAA,distant,raw,17,75.0,0.5,74.6032,62.5,87.5,25.0,35.0,5.0,15.0,80.0,75.0
HOC/SAA,distant,raw,18,87.5,0.75,87.4922,85.0,90.0,34.0,36.0,4.0,6.0,80.0,87.5
HOC/SAA,distant,cwt,1,71.1111,0.4222,71.0539,66.6667,75.5556,30.0,34.0,11.0,15.0,90.0,71.1111
HOC/SAA,distant,cwt,2,50.0,0.0,49.9687,47.5,52.5,19.0,21.0,19.0,21.0,80.0,50.0
HOC/SAA,distant,cwt,3,85.0,0.7,84.9906,82.5,87.5,33.0,35.0,5.0,7.0,80.0,85.0
HOC/SAA,distant,cwt,4,82.5,0.65,82.5,82.5,82.5,33.0,33.0,7.0,7.0,80.0,82.5
HOC/SAA,distant,cwt,5,66.25,0.325,65.5996,80.0,52.5,32.0,21.0,19.0,8.0,80.0,66.25
HOC/SAA,distant,cwt,6,68.75,0.375,68.7451,70.0,67.5,28.0,27.0,13.0,12.0,80.0,68.75
HOC/SAA,distant,cwt,7,67.5,0.35,67.4797,70.0,65.0,28.0,26.0,14.0,12.0,80.0,67.5
HOC/SAA,distant,cwt,8,43.75,-0.125,43.6708,47.5,40.0,19.0,16.0,24.0,21.0,80.0,43.75
HOC/SAA,distant,cwt,9,61.25,0.225,61.2439,60.0,62.5,24.0,25.0,15.0,16.0,80.0,61.25
HOC/SAA,distant,cwt,10,70.0,0.4,69.9812,72.5,67.5,29.0,27.0,13.0,11.0,80.0,70.0
HOC/SAA,distant,cwt,11,55.0,0.1,54.9719,57.5,52.5,23.0,21.0,19.0,17.0,80.0,55.0
HOC/SAA,distant,cwt,12,46.25,-0.075,46.2416,47.5,45.0,19.0,18.0,22.0,21.0,80.0,46.25
HOC/SAA,distant,cwt,13,63.75,0.275,63.7443,65.0,62.5,26.0,25.0,15.0,14.0,80.0,63.75
HOC/SAA,distant,cwt,14,63.75,0.275,63.699,60.0,67.5,24.0,27.0,13.0,16.0,80.0,63.75
HOC/SAA,distant,cwt,15,52.5,0.05,52.0202,62.5,42.5,25.0,17.0,23.0,15.0,80.0,52.5
HOC/SAA,distant,cwt,16,56.25,0.125,56.0784,50.0,62.5,20.0,25.0,15.0,20.0,80.0,56.25
HOC/SAA,distant,cwt,17,75.0,0.5,74.9844,72.5,77.5,29.0,31.0,9.0,11.0,80.0,75.0
HOC/SAA,distant,cwt,18,86.25,0.725,86.2306,90.0,82.5,36.0,33.0,7.0,4.0,80.0,86.25
HOC/SFE,distant,raw,1,60.0,0.2,59.9208,55.5556,64.4444,25.0,29.0,16.0,20.0,90.0,60.0
HOC/SFE,distant,raw,2,67.5,0.35,67.1717,77.5,57.5,31.0,23.0,17.0,9.0,80.0,67.5
HOC/SFE,distant,raw,3,81.25,0.625,81.2236,77.5,85.0,31.0,34.0,6.0,9.0,80.0,81.25
HOC/SFE,distant,raw,4,88.75,0.775,88.7482,90.0,87.5,36.0,35.0,5.0,4.0,80.0,88.75
HOC/SFE,distant,raw,5,61.7284,0.2338,61.6348,65.8537,57.5,27.0,23.0,17.0,14.0,81.0,61.8382
HOC/SFE,distant,raw,6,63.75,0.275,62.7668,47.5,80.0,19.0,32.0,8.0,21.0,80.0,63.75
HOC/SFE,distant,raw,7,65.0,0.3,64.6465,75.0,55.0,30.0,22.0,18.0,10.0,80.0,65.0
HOC/SFE,distant,raw,8,46.25,-0.075,46.1743,42.5,50.0,17.0,20.0,20.0,23.0,80.0,46.25
HOC/SFE,distant,raw,9,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
HOC/SFE,distant,raw,10,70.0,0.4,70.0,70.0,70.0,28.0,28.0,12.0,12.0,80.0,70.0
HOC/SFE,distant,raw,11,58.75,0.175,58.7436,57.5,60.0,23.0,24.0,16.0,17.0,80.0,58.75
HOC/SFE,distant,raw,12,48.75,-0.025,48.742,47.5,50.0,19.0,20.0,20.0,21.0,80.0,48.75
HOC/SFE,distant,raw,13,53.75,0.075,53.1571,65.0,42.5,26.0,17.0,23.0,14.0,80.0,53.75
HOC/SFE,distant,raw,14,61.25,0.225,61.2439,60.0,62.5,24.0,25.0,15.0,16.0,80.0,61.25
HOC/SFE,distant,raw,15,56.25,0.125,55.4069,42.5,70.0,17.0,28.0,12.0,23.0,80.0,56.25
HOC/SFE,distant,raw,16,50.0,0.0,49.7172,42.5,57.5,17.0,23.0,17.0,23.0,80.0,50.0
HOC/SFE,distant,raw,17,75.0,0.5,74.7475,65.0,85.0,26.0,34.0,6.0,14.0,80.0,75.0
HOC/SFE,distant,raw,18,76.25,0.525,75.7923,62.5,90.0,25.0,36.0,4.0,15.0,80.0,76.25
HOC/SFE,distant,cwt,1,71.1111,0.4222,71.0968,68.8889,73.3333,31.0,33.0,12.0,14.0,90.0,71.1111
HOC/SFE,distant,cwt,2,53.75,0.075,53.7428,52.5,55.0,21.0,22.0,18.0,19.0,80.0,53.75
HOC/SFE,distant,cwt,3,76.25,0.525,76.2166,72.5,80.0,29.0,32.0,8.0,11.0,80.0,76.25
HOC/SFE,distant,cwt,4,83.75,0.675,83.7475,82.5,85.0,33.0,34.0,6.0,7.0,80.0,83.75
HOC/SFE,distant,cwt,5,77.7778,0.5547,77.6106,85.3659,70.0,35.0,28.0,12.0,6.0,81.0,77.7206
HOC/SFE,distant,cwt,6,67.5,0.35,67.1717,57.5,77.5,23.0,31.0,9.0,17.0,80.0,67.5
HOC/SFE,distant,cwt,7,58.75,0.175,58.6919,62.5,55.0,25.0,22.0,18.0,15.0,80.0,58.75
HOC/SFE,distant,cwt,8,43.75,-0.125,43.5294,50.0,37.5,20.0,15.0,25.0,20.0,80.0,43.75
HOC/SFE,distant,cwt,9,65.0,0.3,64.9781,67.5,62.5,27.0,25.0,15.0,13.0,80.0,65.0
HOC/SFE,distant,cwt,10,73.75,0.475,73.5475,65.0,82.5,26.0,33.0,7.0,14.0,80.0,73.75
HOC/SFE,distant,cwt,11,53.75,0.075,53.7428,55.0,52.5,22.0,21.0,19.0,18.0,80.0,53.75
HOC/SFE,distant,cwt,12,45.0,-0.1,44.9656,42.5,47.5,17.0,19.0,21.0,23.0,80.0,45.0
HOC/SFE,distant,cwt,13,70.0,0.4,69.8303,62.5,77.5,25.0,31.0,9.0,15.0,80.0,70.0
HOC/SFE,distant,cwt,14,68.75,0.375,68.706,65.0,72.5,26.0,29.0,11.0,14.0,80.0,68.75
HOC/SFE,distant,cwt,15,45.0,-0.1,44.8622,50.0,40.0,20.0,16.0,24.0,20.0,80.0,45.0
HOC/SFE,distant,cwt,16,56.25,0.125,56.2432,55.0,57.5,22.0,23.0,17.0,18.0,80.0,56.25
HOC/SFE,distant,cwt,17,78.75,0.575,78.7467,80.0,77.5,32.0,31.0,9.0,8.0,80.0,78.75
HOC/SFE,distant,cwt,18,87.5,0.75,87.4922,85.0,90.0,34.0,36.0,4.0,6.0,80.0,87.5
HOC/SPS,distant,raw,1,71.1111,0.4222,71.0968,73.3333,68.8889,33.0,31.0,14.0,12.0,90.0,71.1111
HOC/SPS,distant,raw,2,61.25,0.225,61.2439,60.0,62.5,24.0,25.0,15.0,16.0,80.0,61.25
HOC/SPS,distant,raw,3,71.25,0.425,71.1373,65.0,77.5,26.0,31.0,9.0,14.0,80.0,71.25
HOC/SPS,distant,raw,4,88.75,0.775,88.7482,87.5,90.0,35.0,36.0,4.0,5.0,80.0,88.75
HOC/SPS,distant,raw,5,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
HOC/SPS,distant,raw,6,55.0,0.1,53.9642,40.0,70.0,16.0,28.0,12.0,24.0,80.0,55.0
HOC/SPS,distant,raw,7,62.5,0.25,62.2879,70.0,55.0,28.0,22.0,18.0,12.0,80.0,62.5
HOC/SPS,distant,raw,8,62.5,0.25,62.406,67.5,57.5,27.0,23.0,17.0,13.0,80.0,62.5
HOC/SPS,distant,raw,9,52.5,0.05,52.4703,55.0,50.0,22.0,20.0,20.0,18.0,80.0,52.5
HOC/SPS,distant,raw,10,80.0,0.6,80.0,80.0,80.0,32.0,32.0,8.0,8.0,80.0,80.0
HOC/SPS,distant,raw,11,60.0,0.2,59.7737,67.5,52.5,27.0,21.0,19.0,13.0,80.0,60.0
HOC/SPS,distant,raw,12,62.5,0.25,62.2879,70.0,55.0,28.0,22.0,18.0,12.0,80.0,62.5
HOC/SPS,distant,raw,13,48.75,-0.025,48.3546,57.5,40.0,23.0,16.0,24.0,17.0,80.0,48.75
HOC/SPS,distant,raw,14,61.25,0.225,61.2439,62.5,60.0,25.0,24.0,16.0,15.0,80.0,61.25
HOC/SPS,distant,raw,15,46.25,-0.075,46.2416,47.5,45.0,19.0,18.0,22.0,21.0,80.0,46.25
HOC/SPS,distant,raw,16,60.0,0.2,59.7737,52.5,67.5,21.0,27.0,13.0,19.0,80.0,60.0
HOC/SPS,distant,raw,17,77.5,0.55,77.2727,67.5,87.5,27.0,35.0,5.0,13.0,80.0,77.5
HOC/SPS,distant,raw,18,73.75,0.475,73.6471,67.5,80.0,27.0,32.0,8.0,13.0,80.0,73.75
HOC/SPS,distant,cwt,1,74.4444,0.4889,74.416,71.1111,77.7778,32.0,35.0,10.0,13.0,90.0,74.4444
HOC/SPS,distant,cwt,2,48.75,-0.025,48.6778,52.5,45.0,21.0,18.0,22.0,19.0,80.0,48.75
HOC/SPS,distant,cwt,3,78.75,0.575,78.7201,75.0,82.5,30.0,33.0,7.0,10.0,80.0,78.75
HOC/SPS,distant,cwt,4,88.75,0.775,88.7342,92.5,85.0,37.0,34.0,6.0,3.0,80.0,88.75
HOC/SPS,distant,cwt,5,65.0,0.3,64.9781,67.5,62.5,27.0,25.0,15.0,13.0,80.0,65.0
HOC/SPS,distant,cwt,6,67.5,0.35,67.4185,62.5,72.5,25.0,29.0,11.0,15.0,80.0,67.5
HOC/SPS,distant,cwt,7,73.75,0.475,73.713,70.0,77.5,28.0,31.0,9.0,12.0,80.0,73.75
HOC/SPS,distant,cwt,8,53.75,0.075,52.8587,67.5,40.0,27.0,16.0,24.0,13.0,80.0,53.75
HOC/SPS,distant,cwt,9,71.25,0.425,71.2455,72.5,70.0,29.0,28.0,12.0,11.0,80.0,71.25
HOC/SPS,distant,cwt,10,85.0,0.7,84.9624,80.0,90.0,32.0,36.0,4.0,8.0,80.0,85.0
HOC/SPS,distant,cwt,11,58.75,0.175,58.6919,62.5,55.0,25.0,22.0,18.0,15.0,80.0,58.75
HOC/SPS,distant,cwt,12,55.0,0.1,55.0,55.0,55.0,22.0,22.0,18.0,18.0,80.0,55.0
HOC/SPS,distant,cwt,13,60.0,0.2,59.975,57.5,62.5,23.0,25.0,15.0,17.0,80.0,60.0
HOC/SPS,distant,cwt,14,70.0,0.4,69.9812,67.5,72.5,27.0,29.0,11.0,13.0,80.0,70.0
HOC/SPS,distant,cwt,15,40.0,-0.2,39.9625,42.5,37.5,17.0,15.0,25.0,23.0,80.0,40.0
HOC/SPS,distant,cwt,16,62.5,0.25,62.2879,55.0,70.0,22.0,28.0,12.0,18.0,80.0,62.5
HOC/SPS,distant,cwt,17,78.75,0.575,78.7201,75.0,82.5,30.0,33.0,7.0,10.0,80.0,78.75
HOC/SPS,distant,cwt,18,77.5,0.55,77.4436,72.5,82.5,29.0,33.0,7.0,11.0,80.0,77.5
HOC/WAA,adjacent,raw,1,54.4444,0.0889,54.3034,60.0,48.8889,27.0,22.0,23.0,18.0,90.0,54.4444
HOC/WAA,adjacent,raw,2,62.5,0.25,62.1212,72.5,52.5,29.0,21.0,19.0,11.0,80.0,62.5
HOC/WAA,adjacent,raw,3,57.5,0.15,57.4734,60.0,55.0,24.0,22.0,18.0,16.0,80.0,57.5
HOC/WAA,adjacent,raw,4,56.25,0.125,56.0784,50.0,62.5,20.0,25.0,15.0,20.0,80.0,56.25
HOC/WAA,adjacent,raw,5,53.75,0.075,53.6849,50.0,57.5,20.0,23.0,17.0,20.0,80.0,53.75
HOC/WAA,adjacent,raw,6,63.75,0.275,62.4291,45.0,82.5,18.0,33.0,7.0,22.0,80.0,63.75
HOC/WAA,adjacent,raw,7,61.25,0.225,60.951,70.0,52.5,28.0,21.0,19.0,12.0,80.0,61.25
HOC/WAA,adjacent,raw,8,51.25,0.025,51.0588,57.5,45.0,23.0,18.0,22.0,17.0,80.0,51.25
