pair,mode,subject,fold,acc,kappa,f1,n
EFE/SFE,raw,6,4,31.25,-0.375,0.30980392156862746,16
EFE/SFE,raw,6,5,62.5,0.25,0.6190476190476191,16
EFE/SFE,raw,7,1,62.5,0.25,0.6190476190476191,16
EFE/SFE,raw,7,2,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,7,3,62.5,0.25,0.6190476190476191,16
EFE/SFE,raw,7,4,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,7,5,68.75,0.375,0.6862745098039216,16
EFE/SFE,raw,8,1,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,8,2,50.0,0.0,0.5,16
EFE/SFE,raw,8,3,50.0,0.0,0.4920634920634921,16
EFE/SFE,raw,8,4,37.5,-0.25,0.375,16
EFE/SFE,raw,8,5,37.5,-0.25,0.3333333333333333,16
EFE/SFE,raw,9,1,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,9,2,68.75,0.375,0.6862745098039216,16
EFE/SFE,raw,9,3,62.5,0.25,0.6,16
EFE/SFE,raw,9,4,62.5,0.25,0.625,16
EFE/SFE,raw,9,5,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,10,1,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,10,2,37.5,-0.25,0.3333333333333333,16
EFE/SFE,raw,10,3,56.25,0.125,0.5151515151515151,16
EFE/SFE,raw,10,4,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,10,5,50.0,0.0,0.4920634920634921,16
EFE/SFE,raw,11,1,43.75,-0.125,0.37662337662337664,16
EFE/SFE,raw,11,2,50.0,0.0,0.4920634920634921,16
EFE/SFE,raw,11,3,37.5,-0.25,0.36507936507936506,16
EFE/SFE,raw,11,4,62.5,0.25,0.625,16
EFE/SFE,raw,11,5,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,12,1,50.0,0.0,0.4666666666666667,16
EFE/SFE,raw,12,2,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,12,3,50.0,0.0,0.5,16
EFE/SFE,raw,12,4,37.5,-0.25,0.3333333333333333,16
EFE/SFE,raw,12,5,31.25,-0.375,0.2874493927125506,16
EFE/SFE,raw,13,1,43.75,-0.125,0.37662337662337664,16
EFE/SFE,raw,13,2,75.0,0.5,0.75,16
EFE/SFE,raw,13,3,68.75,0.375,0.6536796536796536,16
EFE/SFE,raw,13,4,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,13,5,62.5,0.25,0.625,16
EFE/SFE,raw,14,1,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,14,2,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,14,3,68.75,0.375,0.6862745098039216,16
EFE/SFE,raw,14,4,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,14,5,50.0,0.0,0.4920634920634921,16
EFE/SFE,raw,15,1,31.25,-0.375,0.2874493927125506,16
EFE/SFE,raw,15,2,50.0,0.0,0.4920634920634921,16
EFE/SFE,raw,15,3,37.5,-0.25,0.375,16
EFE/SFE,raw,15,4,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,15,5,37.5,-0.25,0.3333333333333333,16
EFE/SFE,raw,16,1,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,16,2,50.0,0.0,0.4920634920634921,16
EFE/SFE,raw,16,3,62.5,0.25,0.6,16
EFE/SFE,raw,16,4,43.75,-0.125,0.41700404858299595,16
EFE/SFE,raw,16,5,68.75,0.375,0.6862745098039216,16
EFE/SFE,raw,17,1,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,17,2,37.5,-0.25,0.375,16
EFE/SFE,raw,17,3,31.25,-0.375,0.30980392156862746,16
EFE/SFE,raw,17,4,25.0,-0.5,0.25,16
EFE/SFE,raw,17,5,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,18,1,87.5,0.75,0.873015873015873,16
EFE/SFE,raw,18,2,81.25,0.625,0.8056680161943319,16
EFE/SFE,raw,18,3,68.75,0.375,0.6761133603238867,16
EFE/SFE,raw,18,4,75.0,0.5,0.7333333333333334,16
EFE/SFE,raw,18,5,68.75,0.375,0.6862745098039216,16
EFE/SPS,fbc,1,1,44.44444444444444,-0.11111111111111116,0.4444444444444444,18
EFE/SPS,fbc,1,2,33.33333333333333,-0.33333333333333337,0.2987012987012987,18
EFE/SPS,fbc,1,3,50.0,0.0,0.3333333333333333,18
EFE/SPS,fbc,1,4,33.33333333333333,-0.33333333333333337,0.25,18
EFE/SPS,fbc,1,5,50.0,0.0,0.4109090909090909,18
EFE/SPS,fbc,2,1,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,2,2,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,2,3,37.5,-0.25,0.36507936507936506,16
EFE/SPS,fbc,2,4,68.75,0.375,0.6761133603238867,16
EFE/SPS,fbc,2,5,31.25,-0.375,0.30980392156862746,16
EFE/SPS,fbc,3,1,43.75,-0.125,0.43529411764705883,16
EFE/SPS,fbc,3,2,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,3,3,68.75,0.375,0.6862745098039216,16
EFE/SPS,fbc,3,4,62.5,0.25,0.6,16
EFE/SPS,fbc,3,5,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,4,1,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,4,2,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,4,3,75.0,0.5,0.746031746031746,16
EFE/SPS,fbc,4,4,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,4,5,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,5,1,43.75,-0.125,0.37662337662337664,16
EFE/SPS,fbc,5,2,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,5,3,37.5,-0.25,0.36507936507936506,16
EFE/SPS,fbc,5,4,31.25,-0.375,0.2874493927125506,16
EFE/SPS,fbc,5,5,43.75,-0.125,0.43529411764705883,16
EFE/SPS,fbc,6,1,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,6,2,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,6,3,62.5,0.25,0.625,16
EFE/SPS,fbc,6,4,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,6,5,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,7,1,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,7,2,56.25,0.125,0.5465587044534412,16
EFE/SPS,fbc,7,3,50.0,0.0,0.3333333333333333,16
EFE/SPS,fbc,7,4,43.75,-0.125,0.37662337662337664,16
EFE/SPS,fbc,7,5,50.0,0.0,0.4920634920634921,16
EFE/SPS,fbc,8,1,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,8,2,56.25,0.125,0.5607843137254902,16
EFE/SPS,fbc,8,3,62.5,0.25,0.625,16
EFE/SPS,fbc,8,4,50.0,0.0,0.5,16
EFE/SPS,fbc,8,5,56.25,0.125,0.5151515151515151,16
EFE/SPS,fbc,9,1,62.5,0.25,0.6190476190476191,16
EFE/SPS,fbc,9,2,81.25,0.625,0.8117647058823529,16
EFE/SPS,fbc,9,3,68.75,0.375,0.6862745098039216,16
