scope,pair,contrast,window,n_subjects,mean_x,mean_y,diff,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties,p_holm
pair,WFE_EPS,B+CWT - B,800,18,58.533951,60.709877,-2.175926,8.156901,-1.131762,0.273447,0.184955,-0.266759,4,13,1,1.0
pair,WFE_EPS,B+CWT - B,1500,18,57.438272,62.044753,-4.606481,6.62128,-2.951642,0.008928,0.010559,-0.695709,4,13,1,1.0
pair,WFE_EPS,B+CWT - B,3000,18,58.16358,61.203704,-3.040123,5.98046,-2.156715,0.045638,0.053856,-0.508343,7,11,0,1.0
pair,WFE_EPS,B+CWT - B,4000,18,55.555556,60.902778,-5.347222,6.762863,-3.354547,0.00376,0.006445,-0.790674,4,13,1,1.0
pair,WFE_EPS,B+CWT - B,avg,18,57.42284,61.215278,-3.792438,4.261991,-3.77522,0.00151,0.001289,-0.889828,3,15,0,0.47261
pair,WFE_EPS,B+CWT - A,800,18,58.533951,63.20216,-4.66821,6.646746,-2.979734,0.00841,0.011231,-0.70233,4,12,2,1.0
pair,WFE_EPS,B+CWT - A,1500,18,57.438272,62.561728,-5.123457,8.195468,-2.652318,0.01676,0.029348,-0.625157,6,11,1,1.0
pair,WFE_EPS,B+CWT - A,3000,18,58.16358,60.99537,-2.83179,8.858473,-1.356246,0.192762,0.196388,-0.31967,7,11,0,1.0
pair,WFE_EPS,B+CWT - A,4000,18,55.555556,60.679012,-5.123457,6.538961,-3.324226,0.004014,0.010406,-0.783528,3,15,0,1.0
pair,WFE_EPS,B+CWT - A,avg,18,57.42284,61.859568,-4.436728,3.913531,-4.809836,0.000163,0.000145,-1.133689,2,16,0,0.059979
pair,WFE_EFE,A - B,800,18,63.410494,62.816358,0.594136,6.262389,0.402515,0.692321,0.569107,0.094874,8,8,2,1.0
pair,WFE_EFE,A - B,1500,18,59.328704,62.191358,-2.862654,5.048588,-2.405665,0.027806,0.041682,-0.567021,6,11,1,1.0
pair,WFE_EFE,A - B,3000,18,63.641975,61.790123,1.851852,5.63062,1.39536,0.180869,0.367486,0.328889,12,5,1,1.0
