pair,model,subject,window_ms,accuracy,n_test
HOC/EPS,conformer_a,15,1500,76.25,80
HOC/EPS,conformer_a,15,3000,71.25,80
HOC/EPS,conformer_a,15,4000,71.25,80
HOC/EPS,conformer_a,16,800,61.25000000000001,80
HOC/EPS,conformer_a,16,1500,51.24999999999999,80
HOC/EPS,conformer_a,16,3000,58.75,80
HOC/EPS,conformer_a,16,4000,72.5,80
HOC/EPS,conformer_a,17,800,53.75,80
HOC/EPS,conformer_a,17,1500,57.49999999999999,80
HOC/EPS,conformer_a,17,3000,71.25,80
HOC/EPS,conformer_a,17,4000,62.5,80
HOC/EPS,conformer_a,18,800,62.5,80
HOC/EPS,conformer_a,18,1500,66.25,80
HOC/EPS,conformer_a,18,3000,66.25,80
HOC/EPS,conformer_a,18,4000,62.5,80
HOC/EPS,conformer_b,1,800,56.66666666666666,90
HOC/EPS,conformer_b,1,1500,64.44444444444444,90
HOC/EPS,conformer_b,1,3000,57.77777777777777,90
HOC/EPS,conformer_b,1,4000,63.33333333333333,90
HOC/EPS,conformer_b,2,800,51.24999999999999,80
HOC/EPS,conformer_b,2,1500,63.74999999999999,80
HOC/EPS,conformer_b,2,3000,50.0,80
HOC/EPS,conformer_b,2,4000,56.25,80
HOC/EPS,conformer_b,3,800,68.75,80
HOC/EPS,conformer_b,3,1500,70.0,80
HOC/EPS,conformer_b,3,3000,63.74999999999999,80
