pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SFE,17,4000,4,62.5,56.25,16
WFE/SFE,17,4000,5,50.0,62.5,16
WFE/SFE,18,800,1,43.75,68.75,16
WFE/SFE,18,800,2,50.0,81.25,16
WFE/SFE,18,800,3,43.75,56.25,16
WFE/SFE,18,800,4,50.0,81.25,16
WFE/SFE,18,800,5,75.0,62.5,16
WFE/SFE,18,1500,1,56.25,68.75,16
WFE/SFE,18,1500,2,50.0,62.5,16
WFE/SFE,18,1500,3,68.75,75.0,16
WFE/SFE,18,1500,4,50.0,56.25,16
WFE/SFE,18,1500,5,56.25,50.0,16
WFE/SFE,18,3000,1,62.5,68.75,16
WFE/SFE,18,3000,2,68.75,75.0,16
WFE/SFE,18,3000,3,50.0,93.75,16
WFE/SFE,18,3000,4,56.25,93.75,16
WFE/SFE,18,3000,5,56.25,75.0,16
WFE/SFE,18,4000,1,56.25,75.0,16
WFE/SFE,18,4000,2,62.5,62.5,16
WFE/SFE,18,4000,3,43.75,75.0,16
WFE/SFE,18,4000,4,56.25,75.0,16
WFE/SFE,18,4000,5,62.5,68.75,16
